imagen,ambe,psnr,contraste_original,contraste_clahe,entropia_original,entropia_clahe
101085.jpg,23.020945460197808,16.766913445994355,62.067487968597234,65.59085054281867,7.6639185,7.895938
103070.jpg,17.35246533377375,18.943635716143874,36.27856194599332,52.05977236661338,7.062033,7.6629195
108082.jpg,18.903433267919254,18.38340282360783,48.158050340008245,60.31269258728518,6.5956554,7.372201
109053.jpg,9.739405832863781,20.535237546817918,35.29164173608319,47.95995769007946,6.9933705,7.513535
119082.jpg,17.08135310004468,18.238490085681168,72.85105544580017,70.7977795681654,7.6497974,7.8824134
12084.jpg,14.067473656258699,19.873998607455977,33.83498612298612,50.048556616200884,7.00202,7.5909786
126007.jpg,11.043600753881123,22.21163995817601,41.526762210350164,46.48519844640352,6.8997145,7.3525734
130026.jpg,9.52449789832967,20.340324631139563,58.23911307862446,63.24779197455141,7.4401655,7.6805415
14037.jpg,14.902966949695923,19.396481964124074,51.4689680232655,53.12382337721393,6.784519,7.2534757
147091.jpg,11.896023989481932,20.143881340315968,65.06417785871872,60.0307248471247,7.6169815,7.8035645
148089.jpg,20.130206410580243,17.890839279950878,62.19468633740438,67.08662765488998,7.681221,7.908861
156065.jpg,19.985511751866895,17.79650055322723,51.815669466305756,62.6724818764342,7.52728,7.814294
157055.jpg,13.018749878562971,19.470610600373085,58.94450271152954,64.1944850651013,7.617278,7.846143
16077.jpg,7.36687586220296,19.889069865735646,58.70723383709189,63.78857568208026,7.53335,7.8456774
163085.jpg,25.544316422821083,17.075534652572262,31.81917455653363,50.35172028064161,6.998551,7.621756
167062.jpg,10.56481499472153,23.381038234437824,114.10667735798425,104.85433829646533,4.8783517,5.7500043
167083.jpg,12.070932183081723,19.89200977795065,65.39957154047922,67.94393265672689,7.823862,7.924151
170057.jpg,8.494239026949316,20.900691849844954,35.86946760455095,47.19536731894476,7.1750846,7.590353
175032.jpg,28.203878213224,16.0302347450455,41.423458407190935,64.73288589825195,7.351165,7.9231215
189080.jpg,4.424666938685647,21.465221365328087,72.97851490391994,69.91708871658524,7.4415245,7.6850677
219090.jpg,12.631349537891595,20.91871775251064,51.175014044578866,53.83646322743405,7.3659105,7.672412
220075.jpg,14.978400398961142,19.379325402966753,54.8978591108438,59.49052484604288,7.556947,7.7751727
229036.jpg,3.6622560734710277,20.264288862815086,58.86634709435039,63.5971683770592,7.641125,7.8415155
24077.jpg,1.1475702877572047,20.375721489206402,79.0192379263024,74.53559703137675,7.6956964,7.7508593
241004.jpg,6.602139882513711,22.578199514058397,73.52811821646388,70.1785207665422,7.007778,7.333988
253027.jpg,9.029494627625468,20.739618830858063,41.04906743026283,53.85364372298834,7.0949583,7.701401
260058.jpg,7.718136540566434,22.10268632705818,31.908102689990827,40.45475946805237,6.9790277,7.280687
271035.jpg,3.413572450955627,20.227868269874524,51.562749502645005,63.535847852385984,7.5344973,7.8441544
285079.jpg,14.986437911671558,19.68851858481677,50.5570398903399,60.53213002535097,7.0221047,7.6809726
291000.jpg,13.02904773932812,18.543640176256176,48.513437364339666,64.29516839196742,7.573899,7.9106855
295087.jpg,20.401558280062957,18.310953658011897,37.288639617176166,49.13055873898298,7.1503944,7.586981
296007.jpg,7.08556939398062,22.343962973292207,28.424809434439197,38.196924479797566,6.2780256,7.081899
300091.jpg,9.215827617696775,22.52721588000048,42.4215364697564,43.33863245325697,7.033965,7.1843734
304034.jpg,21.866004753855208,17.12208403158667,49.69045409286475,64.24971839092142,7.5559025,7.91262
38092.jpg,0.0761588331681935,20.615257277671578,64.2796145066361,65.97668371330742,7.7691817,7.8763523
41033.jpg,16.792792792792795,18.583597188222807,58.824289601389374,57.83493425060261,7.3982034,7.7664213
42049.jpg,3.8591718965550967,25.527719303569356,53.06001800422611,53.46638961020241,6.409918,6.7120843
43074.jpg,26.742572910797207,17.768562379312687,29.2554615915738,42.837940559039,6.8256297,7.416241
45096.jpg,14.795733188256555,21.55098520936953,39.429589441201685,46.011769156917715,5.693193,6.5194964
54082.jpg,18.404388572612874,18.920645664613623,31.315375633447974,45.501817353058,6.937442,7.478224
58060.jpg,26.250374026074965,17.16012928786531,55.18098503765995,65.80830391904017,6.7571754,7.4789352
62096.jpg,6.913465586362804,21.045838748087697,89.73572255416924,82.0935476213963,6.7549443,7.28033
69015.jpg,33.04411240859838,15.814114825623992,41.10489577152072,60.72642563014578,7.029018,7.683304
69040.jpg,29.06805007739588,16.09512622755267,30.649010609733043,52.87026849548278,6.9545517,7.7102647
76053.jpg,11.649244499711784,19.485731723623264,39.56108382401175,49.83743420884606,7.243542,7.624616
78004.jpg,9.168697093930732,18.056395263736434,71.82092836575609,65.38596251310591,7.8178296,7.9076967
8023.jpg,6.999268139455054,20.53152014428699,31.298264563729273,44.50723468655353,6.9328604,7.4911337
86000.jpg,10.13514161177713,20.97697676278182,42.99501555201755,54.02117037453446,7.1964192,7.584157
86016.jpg,16.06270684775359,18.032131435506905,43.95663212895245,57.42181706556658,7.3924217,7.81831
89072.jpg,7.8920538079416644,21.57045099917959,52.73615077864843,63.71522478403675,7.4256606,7.7709103
