imagen,ambe,psnr,contraste_original,contraste_he,entropia_original,entropia_he
101085.jpg,32.640267873912734,16.014725359231957,62.067487968597234,73.70302809371606,7.6639185,7.3895445
103070.jpg,38.75029306805007,13.076327352974126,36.27856194599332,73.38812644405819,7.062033,6.8785553
108082.jpg,66.25615766737263,10.40321589631593,48.158050340008245,70.88342689211503,6.5956554,6.3146276
109053.jpg,30.42331332050958,13.775336194318568,35.29164173608319,73.27908251908121,6.9933705,6.808649
119082.jpg,23.380288987765624,19.91180136387314,72.85105544580017,74.04681912997943,7.6497974,7.411586
12084.jpg,34.60841574860265,13.402699400287501,33.83498612298612,73.45743204777752,7.00202,6.8546534
126007.jpg,37.428280904916406,13.182396218776606,41.526762210350164,73.57839650617183,6.8997145,6.6844087
130026.jpg,37.01715662463326,14.992078918472645,58.23911307862446,73.08086987425546,7.4401655,7.2059984
14037.jpg,60.312718181877045,11.98217214822198,51.4689680232655,69.80090251680794,6.784519,6.582174
147091.jpg,21.403216300412566,20.045964513215537,65.06417785871872,73.54657726001275,7.6169815,7.3565474
148089.jpg,35.58066333767269,16.13675866606657,62.19468633740438,73.40402551264704,7.681221,7.5047746
156065.jpg,42.13102246747107,14.484944581948806,51.815669466305756,73.34454300122881,7.52728,7.3818364
157055.jpg,23.570838271772857,18.5561015517248,58.94450271152954,73.70176823764342,7.617278,7.4415317
16077.jpg,20.991930104079643,18.089052283946405,58.70723383709189,73.2580137668384,7.53335,7.3417406
163085.jpg,45.92623104772636,12.11956133512851,31.81917455653363,73.49044112391938,6.998551,6.860668
167062.jpg,32.623720053626585,11.488541685929789,114.10667735798425,76.04492877725704,4.8783517,4.679798
167083.jpg,22.809463669276752,19.472766396271936,65.39957154047922,73.91973724831254,7.823862,7.6430073
170057.jpg,11.555261947785311,15.866759562813836,35.86946760455095,73.7381491991295,7.1750846,7.0184736
175032.jpg,29.663059177077855,15.111504467918568,41.423458407190935,73.70858567683314,7.351165,7.22611
189080.jpg,5.521207764198408,23.9075845034885,72.97851490391994,73.64715760614502,7.4415245,7.1479387
219090.jpg,22.348618208431276,17.417588448346535,51.175014044578866,73.54133856503243,7.3659105,7.1036158
220075.jpg,40.32827507593862,14.350181872280432,54.8978591108438,73.37052678653325,7.556947,7.317523
229036.jpg,9.125685714470762,20.232937214997833,58.86634709435039,73.43763935493321,7.641125,7.3612704
24077.jpg,4.884657482788327,23.877621396255616,79.0192379263024,73.95235928533542,7.6956964,7.4186773
241004.jpg,0.5203398941716557,24.150386430967647,73.52811821646388,75.15429817650006,7.007778,6.7773495
253027.jpg,16.543591038918137,15.341754844121017,41.04906743026283,73.57076741824453,7.0949583,6.88995
260058.jpg,31.367160834450544,13.59281733674148,31.908102689990827,73.81107914029701,6.9790277,6.860577
271035.jpg,6.462697780454789,20.405890420867195,51.562749502645005,73.591609755637,7.5344973,7.3906975
285079.jpg,43.26300995459873,12.799377490539218,50.5570398903399,72.90414366530703,7.0221047,6.7424116
291000.jpg,16.90479983937928,18.182461972390094,48.513437364339666,73.63839983760343,7.573899,7.4380875
295087.jpg,43.51842280814245,12.958989168628811,37.288639617176166,73.46262790734644,7.1503944,7.0221376
296007.jpg,0.19486272757299616,14.246477276689497,28.424809434439197,75.11144101202096,6.2780256,6.184175
300091.jpg,39.91179461272918,12.91976973049547,42.4215364697564,73.22785727470696,7.033965,6.725785
304034.jpg,33.1198243534692,15.277982424969647,49.69045409286475,73.61703811787096,7.5559025,7.3037224
38092.jpg,17.065329887759788,21.776759778764927,64.2796145066361,73.69904467694386,7.7691817,7.607058
41033.jpg,31.453611051741902,16.238123656104506,58.824289601389374,73.42845880181996,7.3982034,7.213803
42049.jpg,35.60081864754761,13.099651812384325,53.06001800422611,75.18435794380378,6.409918,6.075463
43074.jpg,60.46051515210395,10.576591259780292,29.2554615915738,73.44139567136432,6.8256297,6.743357
45096.jpg,99.12665721076935,7.382493951609858,39.429589441201685,66.16525474526291,5.693193,5.4125934
54082.jpg,28.191242284700223,13.764554087269484,31.315375633447974,73.48289166959667,6.937442,6.798439
58060.jpg,74.09808226630656,10.026833348336574,55.18098503765995,70.3255575347454,6.7571754,6.4671335
62096.jpg,9.73597321260874,17.828549509845814,89.73572255416924,73.54820642500721,6.7549443,6.4064894
69015.jpg,67.50145400612689,10.581590518442777,41.10489577152072,72.75283853565233,7.029018,6.888942
69040.jpg,47.136683052570916,11.851381317633852,30.649010609733043,73.65794467513241,6.9545517,6.7799106
76053.jpg,19.73215199383425,15.849346258166722,39.56108382401175,73.51059682508122,7.243542,7.1081753
78004.jpg,12.430567159539123,23.905582475055457,71.82092836575609,73.48430820043197,7.8178296,7.634666
8023.jpg,14.305360716575663,14.787573190074017,31.298264563729273,73.39588971341928,6.9328604,6.7526126
86000.jpg,33.22768634918167,14.13642736406256,42.99501555201755,73.36420032291906,7.1964192,6.967345
86016.jpg,25.760241190147752,15.764201886143086,43.95663212895245,73.81839516174631,7.3924217,7.224084
89072.jpg,18.081916567897892,19.00487208289134,52.73615077864843,73.31820033822025,7.4256606,7.377865
