imagen,tecnica,ambe,psnr,contraste,entropia
101085.jpg,HE,32.640267873912734,16.014725359231957,73.70302809371606,7.3895445
103070.jpg,HE,38.75029306805007,13.076327352974126,73.38812644405819,6.8785553
108082.jpg,HE,66.25615766737263,10.40321589631593,70.88342689211503,6.3146276
109053.jpg,HE,30.42331332050958,13.775336194318568,73.27908251908121,6.808649
119082.jpg,HE,23.380288987765624,19.91180136387314,74.04681912997943,7.411586
12084.jpg,HE,34.60841574860265,13.4026994002875,73.45743204777752,6.8546534
126007.jpg,HE,37.428280904916406,13.182396218776606,73.57839650617183,6.6844087
130026.jpg,HE,37.01715662463326,14.992078918472645,73.08086987425546,7.2059984
14037.jpg,HE,60.312718181877045,11.98217214822198,69.80090251680794,6.582174
147091.jpg,HE,21.403216300412566,20.045964513215537,73.54657726001275,7.3565474
148089.jpg,HE,35.58066333767269,16.13675866606657,73.40402551264704,7.5047746
156065.jpg,HE,42.13102246747107,14.484944581948806,73.34454300122881,7.3818364
157055.jpg,HE,23.570838271772857,18.5561015517248,73.70176823764342,7.4415317
16077.jpg,HE,20.991930104079643,18.089052283946405,73.2580137668384,7.3417406
163085.jpg,HE,45.92623104772636,12.11956133512851,73.49044112391938,6.860668
167062.jpg,HE,32.623720053626585,11.488541685929787,76.04492877725704,4.679798
167083.jpg,HE,22.809463669276752,19.472766396271936,73.91973724831254,7.6430073
170057.jpg,HE,11.555261947785311,15.866759562813836,73.7381491991295,7.0184736
175032.jpg,HE,29.66305917707785,15.111504467918568,73.70858567683314,7.22611
189080.jpg,HE,5.521207764198408,23.9075845034885,73.64715760614502,7.1479387
219090.jpg,HE,22.34861820843128,17.417588448346535,73.54133856503243,7.1036158
220075.jpg,HE,40.32827507593862,14.350181872280432,73.37052678653325,7.317523
229036.jpg,HE,9.125685714470762,20.232937214997836,73.43763935493321,7.3612704
24077.jpg,HE,4.884657482788327,23.877621396255616,73.95235928533542,7.4186773
241004.jpg,HE,0.5203398941716557,24.150386430967647,75.15429817650006,6.7773495
253027.jpg,HE,16.543591038918137,15.341754844121017,73.57076741824453,6.88995
260058.jpg,HE,31.367160834450544,13.59281733674148,73.81107914029701,6.860577
271035.jpg,HE,6.462697780454789,20.405890420867195,73.591609755637,7.3906975
285079.jpg,HE,43.26300995459873,12.799377490539218,72.90414366530703,6.7424116
291000.jpg,HE,16.90479983937928,18.182461972390094,73.63839983760343,7.4380875
295087.jpg,HE,43.51842280814245,12.958989168628811,73.46262790734644,7.0221376
296007.jpg,HE,0.1948627275729961,14.246477276689497,75.11144101202096,6.184175
300091.jpg,HE,39.91179461272918,12.91976973049547,73.22785727470696,6.725785
304034.jpg,HE,33.1198243534692,15.277982424969649,73.61703811787096,7.3037224
38092.jpg,HE,17.065329887759788,21.776759778764927,73.69904467694386,7.607058
